dependency,version,services
@aashutoshrathi/word-wrap,1.2.6,als-oracle-pathfinder
,,api-snippets
,,auditing-bc
,,beneficiary-management-system-svc
,,central-ledger
,,central-services-error-handling
,,central-services-health
,,central-services-logger
,,central-services-metrics
,,central-services-shared
,,database-lib
,,event-sdk
,,event-sidecar
,,logging-bc
,,merchant-registry-svc
,,mifos-core-connector
,,ml-number
,,ml-testing-toolkit-client-lib
,,ml-testing-toolkit
,,ml-testing-toolkit-shared-lib
,,ml-testing-toolkit-ui
,,mojaloop-simulator
,,object-store-lib
,,payment-token-adapter
,,platform-shared-lib
,,platform-shared-tools
,,role-assignment-service
,,sdk-standard-components
,,security-role-perm-operator-svc
,,simulator
,,transaction-requests-service
@acuminous/bitsyntax,0.1.2,merchant-registry-svc
@adobe/css-tools,4.3.2,merchant-registry-svc
,4.3.3,beneficiary-management-system-svc
,,ml-testing-toolkit-ui
,4.4.0,beneficiary-registration-portal-frontend
@alloc/quick-lru,5.2.0,beneficiary-management-system-svc
,,beneficiary-registration-portal-frontend
@ampproject/remapping,1.0.1,platform-shared-tools
,2.1.2,mfi-account-oracle
,2.2.0,als-oracle-pathfinder
,,api-snippets
,,central-services-error-handling
,,event-sdk
,,ml-testing-toolkit-client-lib
,,ml-testing-toolkit
,,object-store-lib
,,pisp-project
,,platform-shared-lib
,2.2.1,auditing-bc
,,central-services-metrics
,,documentation
,,logging-bc
,,merchant-registry-svc
,,ml-number
,,ml-testing-toolkit-shared-lib
,,mojaloop-simulator
,,payment-token-adapter
,,platform-shared-tools
,,role-assignment-service
,,security-rbac-tests
,,security-role-perm-operator-svc
,,transaction-requests-service
,2.3.0,account-lookup-bc
,,account-lookup-service
,,accounts-and-balances-bc
,,beneficiary-management-system-svc
,,beneficiary-registration-portal-frontend
,,bulk-api-adapter
,,central-ledger
,,central-services-logger
,,central-services-shared
,,database-lib
,,event-sidecar
,,interop-apis-bc
,,mifos-core-connector
,,ml-testing-toolkit-ui
,,participants-bc
,,platform-configuration-bc
,,quoting-bc
,,reporting-bc
,,reporting-events-processor-svc
,,sdk-standard-components
,,settlements-bc
,,thirdparty-api-svc
,,transfers-bc
,,typescript-bc-template
,,typescript-svc-template
@angular-devkit/architect,0.1202.18,platform-shared-tools
@angular-devkit/build-angular,12.2.18,platform-shared-tools
@angular-devkit/build-optimizer,0.1202.18,platform-shared-tools
@angular-devkit/build-webpack,0.1202.18,platform-shared-tools
@angular-devkit/core,12.2.18,platform-shared-tools
@angular-devkit/schematics,12.2.18,platform-shared-tools
@angular/animations,12.2.17,platform-shared-tools
@angular/cli,12.2.18,platform-shared-tools
@angular/common,12.2.17,platform-shared-tools
@angular/compiler-cli,12.2.17,platform-shared-tools
@angular/compiler,12.2.17,platform-shared-tools
@angular/core,12.2.17,platform-shared-tools
@angular/forms,12.2.17,platform-shared-tools
@angular/localize,12.2.17,platform-shared-tools
@angular/platform-browser-dynamic,12.2.17,platform-shared-tools
@angular/platform-browser,12.2.17,platform-shared-tools
@angular/router,12.2.17,platform-shared-tools
@ant-design/colors,6.0.0,ml-testing-toolkit-ui
,7.0.2,ml-testing-toolkit-ui
@ant-design/icons-svg,4.4.2,ml-testing-toolkit-ui
@ant-design/icons,4.8.3,ml-testing-toolkit-ui
,5.3.6,ml-testing-toolkit-ui
@ant-design/react-slick,1.0.2,ml-testing-toolkit-ui
@apideck/better-ajv-errors,0.3.6,beneficiary-management-system-svc
,,beneficiary-registration-portal-frontend
@apidevtools/json-schema-ref-parser,11.1.0,als-oracle-pathfinder
,,role-assignment-service
,,security-role-perm-operator-svc
,,simulator
,11.5.4,mifos-core-connector
,,payment-token-adapter
,11.6.2,central-ledger
,,central-services-shared
,11.6.4,account-lookup-service
,,bulk-api-adapter
,,event-sidecar
,,ml-testing-toolkit
,,simulator
,,thirdparty-api-svc
,,transaction-requests-service
,8.0.0,als-oracle-pathfinder
,,bulk-api-adapter
,,event-sidecar
,,ml-testing-toolkit
,,operator-settlement
,,oracle-shared-library
,,role-assignment-service
,,thirdparty-api-svc
,9.0.6,api-snippets
,,pisp-project
,,thirdparty-api-svc
,9.0.9,ml-testing-toolkit-client-lib
,,ml-testing-toolkit
,,ml-testing-toolkit-shared-lib
,,ml-testing-toolkit-ui
,,mojaloop-simulator
,,role-assignment-service
,,simulator
,,transaction-requests-service
,9.1.2,api-snippets
,,bulk-api-adapter
,,central-ledger
,,event-sidecar
,,merchant-registry-svc
,,mifos-core-connector
,,ml-testing-toolkit
,,payment-token-adapter
,,role-assignment-service
,,sdk-standard-components
,,thirdparty-api-svc
@apidevtools/openapi-schemas,2.0.3,oracle-shared-library
,2.0.4,operator-settlement
,2.1.0,als-oracle-pathfinder
,,api-snippets
,,bulk-api-adapter
,,central-ledger
,,event-sidecar
,,merchant-registry-svc
,,ml-testing-toolkit
,,pisp-project
,,role-assignment-service
,,simulator
,,thirdparty-api-svc
,,transaction-requests-service
@apidevtools/swagger-cli,4.0.4,api-snippets
,,pisp-project
,,role-assignment-service
,,thirdparty-api-svc
@apidevtools/swagger-methods,3.0.1,oracle-shared-library
,3.0.2,als-oracle-pathfinder
,,api-snippets
,,bulk-api-adapter
,,central-ledger
,,event-sidecar
,,merchant-registry-svc
,,ml-testing-toolkit
,,operator-settlement
,,pisp-project
,,role-assignment-service
,,simulator
,,thirdparty-api-svc
,,transaction-requests-service
@apidevtools/swagger-parser,10.0.3,bulk-api-adapter
,,central-ledger
,,event-sidecar
,,merchant-registry-svc
,,ml-testing-toolkit
,,role-assignment-service
,,simulator
,,thirdparty-api-svc
,,transaction-requests-service
,10.1.0,api-snippets
,,pisp-project
,,thirdparty-api-svc
,9.0.1,als-oracle-pathfinder
,,bulk-api-adapter
,,event-sidecar
,,ml-testing-toolkit
,,operator-settlement
,,oracle-shared-library
,,role-assignment-service
,,thirdparty-api-svc
