dependency,type,group,name,license_id,version,publish_details,services
@aashutoshrathi/word-wrap,library,@aashutoshrathi,word-wrap,MIT,1.2.6,published a year ago by aashutoshrathi <aashutoshrathi@gmail.com>,als-consent-oracle
,,,,,,,als-oracle-pathfinder
,,,,,,,api-snippets
,,,,,,,auditing-bc
,,,,,,,auth-service
,,,,,,,beneficiary-management-system-svc
,,,,,,,central-event-processor
,,,,,,,central-ledger
,,,,,,,central-services-error-handling
,,,,,,,central-services-health
,,,,,,,central-services-logger
,,,,,,,central-services-metrics
,,,,,,,central-services-shared
,,,,,,,central-services-stream
,,,,,,,central-settlement
,,,,,,,cert-management-bc
,,,,,,,database-lib
,,,,,,,email-notifier
,,,,,,,event-sdk
,,,,,,,event-sidecar
,,,,,,,event-stream-processor
,,,,,,,foreign-exchange-bc
,,,,,,,logging-bc
,,,,,,,merchant-registry-svc
,,,,,,,mifos-core-connector
,,,,,,,ml-number
,,,,,,,ml-testing-toolkit-client-lib
,,,,,,,ml-testing-toolkit
,,,,,,,ml-testing-toolkit-shared-lib
,,,,,,,ml-testing-toolkit-ui
,,,,,,,mojaloop-simulator
,,,,,,,object-store-lib
,,,,,,,payment-token-adapter
,,,,,,,platform-shared-lib
,,,,,,,platform-shared-tools
,,,,,,,role-assignment-service
,,,,,,,sdk-standard-components
,,,,,,,security-role-perm-operator-svc
,,,,,,,simulator
,,,,,,,thirdparty-api-bc
,,,,,,,thirdparty-sdk
,,,,,,,transaction-requests-service
@acuminous/bitsyntax,library,@acuminous,bitsyntax,MIT,0.1.2,published over a year ago by cressie176 <stephen.cresswell@gmail.com>,merchant-registry-svc
@adobe/css-tools,library,@adobe,css-tools,MIT,4.3.2,published 9 months ago by adobe-admin <grp-opensourceoffice@adobe.com>,merchant-registry-svc
,,,,,4.3.3,published 7 months ago by adobe-admin <grp-opensourceoffice@adobe.com>,beneficiary-management-system-svc
,,,,,,,ml-testing-toolkit-ui
,,,,,4.4.0,published 3 months ago by adobe-admin <grp-opensourceoffice@adobe.com>,beneficiary-registration-portal-frontend
@alloc/quick-lru,library,@alloc,quick-lru,MIT,5.2.0,published over a year ago by aleclarson <aleclarson@protonmail.com>,beneficiary-management-system-svc
,,,,,,,beneficiary-registration-portal-frontend
@ampproject/remapping,library,@ampproject,remapping,Apache-2.0,1.0.1,published over a year ago by jridgewell <justin+npm@ridgewell.name>,platform-shared-tools
,,,,,2.2.0,published over a year ago by jridgewell <justin+npm@ridgewell.name>,als-oracle-pathfinder
,,,,,,,api-snippets
,,,,,,,central-services-error-handling
,,,,,,,email-notifier
,,,,,,,event-sdk
,,,,,,,fx-converter-template
,,,,,,,ml-testing-toolkit-client-lib
,,,,,,,ml-testing-toolkit
,,,,,,,object-store-lib
,,,,,,,platform-shared-lib
,,,,,,,sdk-core-connector-openpayments-api-svc
,,,,,,,sdk-core-connector-rafiki-api-svc
,,,,,2.2.1,published a year ago by jridgewell <justin+npm@ridgewell.name>,als-consent-oracle
,,,,,,,auditing-bc
,,,,,,,auth-service
,,,,,,,central-services-metrics
,,,,,,,central-settlement
,,,,,,,cert-management-bc
,,,,,,,documentation
,,,,,,,foreign-exchange-bc
,,,,,,,logging-bc
,,,,,,,merchant-registry-svc
,,,,,,,ml-number
,,,,,,,ml-testing-toolkit-shared-lib
,,,,,,,mojaloop-simulator
,,,,,,,payment-token-adapter
,,,,,,,platform-shared-tools
,,,,,,,role-assignment-service
,,,,,,,security-rbac-tests
,,,,,,,security-role-perm-operator-svc
,,,,,,,thirdparty-api-bc
,,,,,,,thirdparty-sdk
,,,,,,,transaction-requests-service
,,,,,2.3.0,published 6 months ago by jridgewell <justin+npm@ridgewell.name>,account-lookup-bc
,,,,,,,account-lookup-service
,,,,,,,accounts-and-balances-bc
,,,,,,,beneficiary-management-system-svc
,,,,,,,beneficiary-registration-portal-frontend
,,,,,,,bulk-api-adapter
,,,,,,,central-ledger
,,,,,,,central-services-logger
,,,,,,,central-services-shared
,,,,,,,central-services-stream
,,,,,,,database-lib
,,,,,,,event-sidecar
,,,,,,,interop-apis-bc
,,,,,,,mifos-core-connector
,,,,,,,ml-testing-toolkit-ui
,,,,,,,participants-bc
,,,,,,,platform-configuration-bc
,,,,,,,quoting-bc
,,,,,,,reporting-bc
,,,,,,,reporting-events-processor-svc
,,,,,,,scheduling-bc
,,,,,,,sdk-standard-components
,,,,,,,settlements-bc
,,,,,,,thirdparty-api-svc
,,,,,,,transfers-bc
,,,,,,,typescript-bc-template
,,,,,,,typescript-svc-template
@angular-devkit/architect,library,@angular-devkit,architect,MIT,0.1202.18,published over a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular-devkit/build-angular,library,@angular-devkit,build-angular,MIT,12.2.18,published over a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular-devkit/build-optimizer,library,@angular-devkit,build-optimizer,MIT,0.1202.18,published over a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
