commits

Total Squashed Commit Count,8554



Modules

Total first-level module dependencies,  568
Unique first-level module dependencies, 243
Total module dependencies,  16874
Unique module dependencies, 2750



Contributors

Unique contributors who have opened PRs: ,114
Unique contributors who have forked Mojaloop repos: (this includes organizations) ,228
Unique contributors from Issues(created or assigned to issues) ,130
Unique contributors from PRs  Forks and Issues:  ,359


Lines

Language ,files ,blank ,comment ,code
JSON ,513 ,51 ,0 ,1235180
XML ,24 ,88 ,0 ,542707
YAML ,1140 ,7754 ,24103 ,243042
JavaScript ,1922 ,30900 ,49309 ,219118
SVG ,338 ,338 ,3629 ,84089
Markdown ,606 ,44457 ,0 ,82499
TypeScript ,251 ,3242 ,13249 ,32846
JSX ,65 ,1583 ,1981 ,18882
Java ,101 ,5384 ,2405 ,11029
Bourne Shell ,211 ,1472 ,633 ,8446
HTML ,16 ,715 ,52 ,5868
AsciiDoc ,28 ,1258 ,130 ,3284
SQL ,9 ,557 ,841 ,3257
Vuejs Component ,29 ,281 ,45 ,2518
RAML ,1 ,11 ,4 ,2279
CSS ,10 ,53 ,69 ,1476
Stylus ,13 ,87 ,27 ,602
Maven ,5 ,67 ,32 ,530
Dockerfile ,29 ,278 ,249 ,530
HCL ,9 ,57 ,22 ,497
Cucumber ,9 ,112 ,150 ,442
Groovy ,2 ,10 ,33 ,299
Protocol Buffers ,2 ,35 ,37 ,166
make ,4 ,57 ,72 ,116
DOS Batch ,1 ,31 ,0 ,112
Python ,1 ,10 ,17 ,53
PowerShell ,3 ,15 ,3 ,47
SUM: ,5342 ,98903 ,97092 ,2499914
