type,brom_ref,group,name,version,license-id
library,@aashutoshrathi/word-wrap@1.2.6,@aashutoshrathi,word-wrap,1.2.6,MIT
library,@adobe/css-tools@4.3.3,@adobe,css-tools,4.3.3,MIT
library,@adobe/css-tools@4.4.0,@adobe,css-tools,4.4.0,MIT
library,@alloc/quick-lru@5.2.0,@alloc,quick-lru,5.2.0,MIT
library,@ampproject/remapping@2.2.0,@ampproject,remapping,2.2.0,Apache-2.0
library,@ampproject/remapping@2.2.1,@ampproject,remapping,2.2.1,Apache-2.0
library,@ampproject/remapping@2.3.0,@ampproject,remapping,2.3.0,Apache-2.0
library,@apideck/better-ajv-errors@0.3.6,@apideck,better-ajv-errors,0.3.6,MIT
library,@apidevtools/json-schema-ref-parser@11.1.0,@apidevtools,json-schema-ref-parser,11.1.0,MIT
library,@apidevtools/json-schema-ref-parser@11.6.2,@apidevtools,json-schema-ref-parser,11.6.2,MIT
library,@apidevtools/json-schema-ref-parser@11.6.4,@apidevtools,json-schema-ref-parser,11.6.4,MIT
library,@apidevtools/json-schema-ref-parser@8.0.0,@apidevtools,json-schema-ref-parser,8.0.0,MIT
library,@apidevtools/json-schema-ref-parser@9.0.6,@apidevtools,json-schema-ref-parser,9.0.6,MIT
library,@apidevtools/json-schema-ref-parser@9.1.2,@apidevtools,json-schema-ref-parser,9.1.2,MIT
library,@apidevtools/openapi-schemas@2.1.0,@apidevtools,openapi-schemas,2.1.0,MIT
library,@apidevtools/swagger-cli@4.0.4,@apidevtools,swagger-cli,4.0.4,MIT
library,@apidevtools/swagger-methods@3.0.2,@apidevtools,swagger-methods,3.0.2,MIT
library,@apidevtools/swagger-parser@10.0.3,@apidevtools,swagger-parser,10.0.3,MIT
library,@apidevtools/swagger-parser@10.1.0,@apidevtools,swagger-parser,10.1.0,MIT
library,@apidevtools/swagger-parser@9.0.1,@apidevtools,swagger-parser,9.0.1,MIT
library,@ava/typescript@5.0.0,@ava,typescript,5.0.0,MIT
library,@babel/code-frame@7.0.0,@babel,code-frame,7.0.0,MIT
library,@babel/code-frame@7.12.11,@babel,code-frame,7.12.11,MIT
library,@babel/code-frame@7.14.5,@babel,code-frame,7.14.5,MIT
library,@babel/code-frame@7.22.13,@babel,code-frame,7.22.13,MIT
library,@babel/code-frame@7.23.5,@babel,code-frame,7.23.5,MIT
library,@babel/code-frame@7.24.1,@babel,code-frame,7.24.1,MIT
library,@babel/code-frame@7.24.2,@babel,code-frame,7.24.2,MIT
library,@babel/code-frame@7.24.6,@babel,code-frame,7.24.6,MIT
library,@babel/code-frame@7.24.7,@babel,code-frame,7.24.7,MIT
library,@babel/compat-data@7.14.5,@babel,compat-data,7.14.5,MIT
library,@babel/compat-data@7.18.8,@babel,compat-data,7.18.8,MIT
library,@babel/compat-data@7.19.0,@babel,compat-data,7.19.0,MIT
library,@babel/compat-data@7.22.20,@babel,compat-data,7.22.20,MIT
library,@babel/compat-data@7.22.9,@babel,compat-data,7.22.9,MIT
library,@babel/compat-data@7.23.2,@babel,compat-data,7.23.2,MIT
library,@babel/compat-data@7.23.5,@babel,compat-data,7.23.5,MIT
library,@babel/compat-data@7.24.6,@babel,compat-data,7.24.6,MIT
library,@babel/compat-data@7.24.7,@babel,compat-data,7.24.7,MIT
library,@babel/compat-data@7.24.9,@babel,compat-data,7.24.9,MIT
library,@babel/core@7.10.2,@babel,core,7.10.2,MIT
library,@babel/core@7.14.6,@babel,core,7.14.6,MIT
library,@babel/core@7.18.6,@babel,core,7.18.6,MIT
library,@babel/core@7.18.9,@babel,core,7.18.9,MIT
library,@babel/core@7.19.0,@babel,core,7.19.0,MIT
library,@babel/core@7.22.11,@babel,core,7.22.11,MIT
library,@babel/core@7.23.0,@babel,core,7.23.0,MIT
library,@babel/core@7.23.2,@babel,core,7.23.2,MIT
library,@babel/core@7.24.0,@babel,core,7.24.0,MIT
library,@babel/core@7.24.6,@babel,core,7.24.6,MIT
library,@babel/core@7.24.7,@babel,core,7.24.7,MIT
library,@babel/core@7.24.9,@babel,core,7.24.9,MIT
library,@babel/eslint-parser@7.23.10,@babel,eslint-parser,7.23.10,MIT
library,@babel/eslint-parser@7.24.7,@babel,eslint-parser,7.24.7,MIT
library,@babel/generator@7.23.0,@babel,generator,7.23.0,MIT
library,@babel/generator@7.23.3,@babel,generator,7.23.3,MIT
library,@babel/generator@7.23.6,@babel,generator,7.23.6,MIT
library,@babel/generator@7.24.1,@babel,generator,7.24.1,MIT
library,@babel/generator@7.24.10,@babel,generator,7.24.10,MIT
library,@babel/generator@7.24.4,@babel,generator,7.24.4,MIT
library,@babel/generator@7.24.6,@babel,generator,7.24.6,MIT
library,@babel/generator@7.24.7,@babel,generator,7.24.7,MIT
library,@babel/helper-annotate-as-pure@7.22.5,@babel,helper-annotate-as-pure,7.22.5,MIT
library,@babel/helper-annotate-as-pure@7.24.7,@babel,helper-annotate-as-pure,7.24.7,MIT
library,@babel/helper-builder-binary-assignment-operator-visitor@7.22.15,@babel,helper-builder-binary-assignment-operator-visitor,7.22.15,MIT
library,@babel/helper-builder-binary-assignment-operator-visitor@7.24.7,@babel,helper-builder-binary-assignment-operator-visitor,7.24.7,MIT
library,@babel/helper-compilation-targets@7.14.5,@babel,helper-compilation-targets,7.14.5,MIT
library,@babel/helper-compilation-targets@7.18.6,@babel,helper-compilation-targets,7.18.6,MIT
library,@babel/helper-compilation-targets@7.18.9,@babel,helper-compilation-targets,7.18.9,MIT
library,@babel/helper-compilation-targets@7.19.0,@babel,helper-compilation-targets,7.19.0,MIT
library,@babel/helper-compilation-targets@7.22.10,@babel,helper-compilation-targets,7.22.10,MIT
library,@babel/helper-compilation-targets@7.22.15,@babel,helper-compilation-targets,7.22.15,MIT
library,@babel/helper-compilation-targets@7.23.6,@babel,helper-compilation-targets,7.23.6,MIT
library,@babel/helper-compilation-targets@7.24.6,@babel,helper-compilation-targets,7.24.6,MIT
library,@babel/helper-compilation-targets@7.24.7,@babel,helper-compilation-targets,7.24.7,MIT
library,@babel/helper-compilation-targets@7.24.8,@babel,helper-compilation-targets,7.24.8,MIT
library,@babel/helper-create-class-features-plugin@7.22.15,@babel,helper-create-class-features-plugin,7.22.15,MIT
library,@babel/helper-create-class-features-plugin@7.24.0,@babel,helper-create-class-features-plugin,7.24.0,MIT
library,@babel/helper-create-class-features-plugin@7.24.7,@babel,helper-create-class-features-plugin,7.24.7,MIT
library,@babel/helper-create-regexp-features-plugin@7.22.15,@babel,helper-create-regexp-features-plugin,7.22.15,MIT
library,@babel/helper-create-regexp-features-plugin@7.24.7,@babel,helper-create-regexp-features-plugin,7.24.7,MIT
library,@babel/helper-define-polyfill-provider@0.4.2,@babel,helper-define-polyfill-provider,0.4.2,MIT
